STATION NAME,LAT,LON,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,ACC,AVE
BALER,15.762,121.562,0.0,0.6,0.0,27.4,0.0,13.0,32.0,0.0,0.6,0.0,27.4,0.0,13.0,32.0,0.0,0.6,0.0,27.4,0.0,13.0,32.0,0.0,0.6,0.0,27.4,0.0,0.0,3.9,7.8,11.7,0.0,270.4,9.0
CASIGURAN,16.280,122.123,5.8,7.6,3.5,99.2,81.4,6.8,48.8,5.8,7.6,3.5,99.2,81.4,6.8,48.8,5.8,7.6,3.5,99.2,81.4,6.8,48.8,5.8,7.6,3.5,99.2,81.4,0.0,3.9,7.8,11.7,81.4,980.2,32.7
PORT AREA ,14.586,120.969,2.0,49.0,31.2,42.5,46.7,15.6,19.2,2.0,49.0,31.2,42.5,46.7,15.6,19.2,2.0,49.0,31.2,42.5,46.7,15.6,19.2,2.0,49.0,31.2,42.5,46.7,0.0,3.9,7.8,11.7,46.7,813.4,27.1
SUBIC,14.808,120.300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,7.8,11.7,0.0,23.4,0.8
TAYABAS,14.028,121.588,0.0,0.0,4.0,1.1,0.0,0.0,2.8,0.0,0.0,4.0,1.1,0.0,0.0,2.8,0.0,0.0,4.0,1.1,0.0,0.0,2.8,0.0,0.0,4.0,1.1,0.0,0.0,3.9,7.8,11.7,0.0,52.2,1.7
SANGLEY,14.498,120.917,0.0,14.6,34.8,0.0,0.0,13.0,54.4,0.0,14.6,34.8,0.0,0.0,13.0,54.4,0.0,14.6,34.8,0.0,0.0,13.0,54.4,0.0,14.6,34.8,0.0,0.0,0.0,3.9,7.8,11.7,0.0,423.2,14.1
NAIA,14.517,121.017,1.3,0.0,2.7,19.4,7.7,0.2,18.0,1.3,0.0,2.7,19.4,7.7,0.2,18.0,1.3,0.0,2.7,19.4,7.7,0.2,18.0,1.3,0.0,2.7,19.4,7.7,0.0,3.9,7.8,11.7,7.7,202.4,6.7
SCIENCE GARDEN,14.645,121.042,0.0,1.4,5.0,3.6,0.0,3.0,1.2,0.0,1.4,5.0,3.6,0.0,3.0,1.2,0.0,1.4,5.0,3.6,0.0,3.0,1.2,0.0,1.4,5.0,3.6,0.0,0.0,3.9,7.8,11.7,0.0,76.0,2.5
CALAPAN,13.413,121.170,0.0,0.2,0.0,0.1,0.1,0.0,3.9,0.0,0.2,0.0,0.1,0.1,0.0,3.9,0.0,0.2,0.0,0.1,0.1,0.0,3.9,0.0,0.2,0.0,0.1,0.1,0.0,3.9,7.8,11.7,0.1,36.7,1.2
AMBULONG,14.092,121.055,10.4,6.6,14.2,57.8,6.2,6.3,91.4,10.4,6.6,14.2,57.8,6.2,6.3,91.4,10.4,6.6,14.2,57.8,6.2,6.3,91.4,10.4,6.6,14.2,57.8,6.2,0.0,3.9,7.8,11.7,6.2,697.3,23.2
TANAY,13.937,121.612,0.0,0.6,0.0,27.4,0.0,13.0,32.0,0.0,0.6,0.0,27.4,0.0,13.0,32.0,0.0,0.6,0.0,27.4,0.0,13.0,32.0,0.0,0.6,0.0,27.4,0.0,0.0,3.9,7.8,11.7,0.0,270.4,9.0
TANAY,14.500,121.283,5.8,7.6,3.5,99.2,81.4,6.8,48.8,5.8,7.6,3.5,99.2,81.4,6.8,48.8,5.8,7.6,3.5,99.2,81.4,6.8,48.8,5.8,7.6,3.5,99.2,81.4,0.0,3.9,7.8,11.7,81.4,980.2,32.7
INFANTA,14.750,121.647,2.0,49.0,31.2,42.5,46.7,15.6,19.2,2.0,49.0,31.2,42.5,46.7,15.6,19.2,2.0,49.0,31.2,42.5,46.7,15.6,19.2,2.0,49.0,31.2,42.5,46.7,0.0,3.9,7.8,11.7,46.7,813.4,27.1
ALABAT,14.103,122.010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,7.8,11.7,0.0,23.4,0.8
DAET,14.113,122.953,0.0,0.0,4.0,1.1,0.0,0.0,2.8,0.0,0.0,4.0,1.1,0.0,0.0,2.8,0.0,0.0,4.0,1.1,0.0,0.0,2.8,0.0,0.0,4.0,1.1,0.0,0.0,3.9,7.8,11.7,0.0,52.2,1.7
LEGASPI,13.138,123.733,0.0,14.6,34.8,0.0,0.0,13.0,54.4,0.0,14.6,34.8,0.0,0.0,13.0,54.4,0.0,14.6,34.8,0.0,0.0,13.0,54.4,0.0,14.6,34.8,0.0,0.0,0.0,3.9,7.8,11.7,0.0,423.2,14.1
VIRAC SYNOP,13.585,124.230,1.3,0.0,2.7,19.4,7.7,0.2,18.0,1.3,0.0,2.7,19.4,7.7,0.2,18.0,1.3,0.0,2.7,19.4,7.7,0.2,18.0,1.3,0.0,2.7,19.4,7.7,0.0,3.9,7.8,11.7,7.7,202.4,6.7
VIRAC RADAR,13.600,124.300,0.0,1.4,5.0,3.6,0.0,3.0,1.2,0.0,1.4,5.0,3.6,0.0,3.0,1.2,0.0,1.4,5.0,3.6,0.0,3.0,1.2,0.0,1.4,5.0,3.6,0.0,0.0,3.9,7.8,11.7,0.0,76.0,2.5
CORON,11.998,120.203,0.0,0.2,0.0,0.1,0.1,0.0,3.9,0.0,0.2,0.0,0.1,0.1,0.0,3.9,0.0,0.2,0.0,0.1,0.1,0.0,3.9,0.0,0.2,0.0,0.1,0.1,0.0,3.9,7.8,11.7,0.1,36.7,1.2
SAN JOSE,12.420,121.050,10.4,6.6,14.2,57.8,6.2,6.3,91.4,10.4,6.6,14.2,57.8,6.2,6.3,91.4,10.4,6.6,14.2,57.8,6.2,6.3,91.4,10.4,6.6,14.2,57.8,6.2,0.0,3.9,7.8,11.7,6.2,697.3,23.2
ROMBLON,12.577,122.268,0.0,0.6,0.0,27.4,0.0,13.0,32.0,0.0,0.6,0.0,27.4,0.0,13.0,32.0,0.0,0.6,0.0,27.4,0.0,13.0,32.0,0.0,0.6,0.0,27.4,0.0,0.0,3.9,7.8,11.7,0.0,270.4,9.0
ROXAS,11.583,122.750,5.8,7.6,3.5,99.2,81.4,6.8,48.8,5.8,7.6,3.5,99.2,81.4,6.8,48.8,5.8,7.6,3.5,99.2,81.4,6.8,48.8,5.8,7.6,3.5,99.2,81.4,0.0,3.9,7.8,11.7,81.4,980.2,32.7
MASBATE,12.370,123.618,2.0,49.0,31.2,42.5,46.7,15.6,19.2,2.0,49.0,31.2,42.5,46.7,15.6,19.2,2.0,49.0,31.2,42.5,46.7,15.6,19.2,2.0,49.0,31.2,42.5,46.7,0.0,3.9,7.8,11.7,46.7,813.4,27.1
CATARMAN,12.500,124.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,7.8,11.7,0.0,23.4,0.8
CATBALOGAN,11.778,124.880,0.0,0.0,4.0,1.1,0.0,0.0,2.8,0.0,0.0,4.0,1.1,0.0,0.0,2.8,0.0,0.0,4.0,1.1,0.0,0.0,2.8,0.0,0.0,4.0,1.1,0.0,0.0,3.9,7.8,11.7,0.0,52.2,1.7
TACLOBAN,11.245,125.000,0.0,14.6,34.8,0.0,0.0,13.0,54.4,0.0,14.6,34.8,0.0,0.0,13.0,54.4,0.0,14.6,34.8,0.0,0.0,13.0,54.4,0.0,14.6,34.8,0.0,0.0,0.0,3.9,7.8,11.7,0.0,423.2,14.1
BORONGAN,11.608,125.433,1.3,0.0,2.7,19.4,7.7,0.2,18.0,1.3,0.0,2.7,19.4,7.7,0.2,18.0,1.3,0.0,2.7,19.4,7.7,0.2,18.0,1.3,0.0,2.7,19.4,7.7,0.0,3.9,7.8,11.7,7.7,202.4,6.7
GUIUAN,11.032,125.725,0.0,1.4,5.0,3.6,0.0,3.0,1.2,0.0,1.4,5.0,3.6,0.0,3.0,1.2,0.0,1.4,5.0,3.6,0.0,3.0,1.2,0.0,1.4,5.0,3.6,0.0,0.0,3.9,7.8,11.7,0.0,76.0,2.5
PAGASA ISLAND,11.000,114.100,0.0,0.2,0.0,0.1,0.1,0.0,3.9,0.0,0.2,0.0,0.1,0.1,0.0,3.9,0.0,0.2,0.0,0.1,0.1,0.0,3.9,0.0,0.2,0.0,0.1,0.1,0.0,3.9,7.8,11.7,0.1,36.7,1.2
PUERTO PRINCESA,9.742,118.733,10.4,6.6,14.2,57.8,6.2,6.3,91.4,10.4,6.6,14.2,57.8,6.2,6.3,91.4,10.4,6.6,14.2,57.8,6.2,6.3,91.4,10.4,6.6,14.2,57.8,6.2,0.0,3.9,7.8,11.7,6.2,697.3,23.2
CUYO,10.853,121.007,0.0,0.6,0.0,27.4,0.0,13.0,32.0,0.0,0.6,0.0,27.4,0.0,13.0,32.0,0.0,0.6,0.0,27.4,0.0,13.0,32.0,0.0,0.6,0.0,27.4,0.0,0.0,3.9,7.8,11.7,0.0,270.4,9.0
ILOILO,10.708,122.550,5.8,7.6,3.5,99.2,81.4,6.8,48.8,5.8,7.6,3.5,99.2,81.4,6.8,48.8,5.8,7.6,3.5,99.2,81.4,6.8,48.8,5.8,7.6,3.5,99.2,81.4,0.0,3.9,7.8,11.7,81.4,980.2,32.7
DUMAGUETE,9.302,123.307,2.0,49.0,31.2,42.5,46.7,15.6,19.2,2.0,49.0,31.2,42.5,46.7,15.6,19.2,2.0,49.0,31.2,42.5,46.7,15.6,19.2,2.0,49.0,31.2,42.5,46.7,0.0,3.9,7.8,11.7,46.7,813.4,27.1
TAGBILARAN,9.643,123.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,7.8,11.7,0.0,23.4,0.8
CEBU,10.344,123.911,0.0,0.0,4.0,1.1,0.0,0.0,2.8,0.0,0.0,4.0,1.1,0.0,0.0,2.8,0.0,0.0,4.0,1.1,0.0,0.0,2.8,0.0,0.0,4.0,1.1,0.0,0.0,3.9,7.8,11.7,0.0,52.2,1.7
MACTAN,10.297,123.963,0.0,14.6,34.8,0.0,0.0,13.0,54.4,0.0,14.6,34.8,0.0,0.0,13.0,54.4,0.0,14.6,34.8,0.0,0.0,13.0,54.4,0.0,14.6,34.8,0.0,0.0,0.0,3.9,7.8,11.7,0.0,423.2,14.1
MAASIN,10.137,124.837,1.3,0.0,2.7,19.4,7.7,0.2,18.0,1.3,0.0,2.7,19.4,7.7,0.2,18.0,1.3,0.0,2.7,19.4,7.7,0.2,18.0,1.3,0.0,2.7,19.4,7.7,0.0,3.9,7.8,11.7,7.7,202.4,6.7
SURIGAO,9.792,125.492,0.0,1.4,5.0,3.6,0.0,3.0,1.2,0.0,1.4,5.0,3.6,0.0,3.0,1.2,0.0,1.4,5.0,3.6,0.0,3.0,1.2,0.0,1.4,5.0,3.6,0.0,0.0,3.9,7.8,11.7,0.0,76.0,2.5
DIPOLOG,8.592,123.338,0.0,0.2,0.0,0.1,0.1,0.0,3.9,0.0,0.2,0.0,0.1,0.1,0.0,3.9,0.0,0.2,0.0,0.1,0.1,0.0,3.9,0.0,0.2,0.0,0.1,0.1,0.0,3.9,7.8,11.7,0.1,36.7,1.2
COTABATO,7.228,124.247,10.4,6.6,14.2,57.8,6.2,6.3,91.4,10.4,6.6,14.2,57.8,6.2,6.3,91.4,10.4,6.6,14.2,57.8,6.2,6.3,91.4,10.4,6.6,14.2,57.8,6.2,0.0,3.9,7.8,11.7,6.2,697.3,23.2
LUMBIA,8.403,124.555,0.0,0.6,0.0,27.4,0.0,13.0,32.0,0.0,0.6,0.0,27.4,0.0,13.0,32.0,0.0,0.6,0.0,27.4,0.0,13.0,32.0,0.0,0.6,0.0,27.4,0.0,0.0,3.9,7.8,11.7,0.0,270.4,9.0
CAGAYAN DE ORO,8.487,124.633,5.8,7.6,3.5,99.2,81.4,6.8,48.8,5.8,7.6,3.5,99.2,81.4,6.8,48.8,5.8,7.6,3.5,99.2,81.4,6.8,48.8,5.8,7.6,3.5,99.2,81.4,0.0,3.9,7.8,11.7,81.4,980.2,32.7
MALAYBALAY,8.153,125.077,2.0,49.0,31.2,42.5,46.7,15.6,19.2,2.0,49.0,31.2,42.5,46.7,15.6,19.2,2.0,49.0,31.2,42.5,46.7,15.6,19.2,2.0,49.0,31.2,42.5,46.7,0.0,3.9,7.8,11.7,46.7,813.4,27.1
BUTUAN,8.947,125.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,7.8,11.7,0.0,23.4,0.8
DAVAO,7.300,125.833,0.0,0.0,4.0,1.1,0.0,0.0,2.8,0.0,0.0,4.0,1.1,0.0,0.0,2.8,0.0,0.0,4.0,1.1,0.0,0.0,2.8,0.0,0.0,4.0,1.1,0.0,0.0,3.9,7.8,11.7,0.0,52.2,1.7
HINATUAN,8.370,126.337,0.0,14.6,34.8,0.0,0.0,13.0,54.4,0.0,14.6,34.8,0.0,0.0,13.0,54.4,0.0,14.6,34.8,0.0,0.0,13.0,54.4,0.0,14.6,34.8,0.0,0.0,0.0,3.9,7.8,11.7,0.0,423.2,14.1
ZAMBOANGA,6.905,122.075,1.3,0.0,2.7,19.4,7.7,0.2,18.0,1.3,0.0,2.7,19.4,7.7,0.2,18.0,1.3,0.0,2.7,19.4,7.7,0.2,18.0,1.3,0.0,2.7,19.4,7.7,0.0,3.9,7.8,11.7,7.7,202.4,6.7
GENERAL SANTOS,6.117,125.183,0.0,1.4,5.0,3.6,0.0,3.0,1.2,0.0,1.4,5.0,3.6,0.0,3.0,1.2,0.0,1.4,5.0,3.6,0.0,3.0,1.2,0.0,1.4,5.0,3.6,0.0,0.0,3.9,7.8,11.7,0.0,76.0,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
